id,label,parentId
1,Nantes,NULL
2,Lombarderie / Batiment 31,1
3,EE23,2
4,Armoire,3
5,BAG,3
6,Dessicateur,3
7,EE24,2
8,Armoire,7
9,BAG,7
10,EE25,2
11,Armoire,10
12,BAG,10
13,EE26,2
14,Placard,13
15,EE36,2
16,Armoire 1,15
17,Armoire 2,15
18,Armoire 3,15
19,Armoire 4,15
20,PCM,2
21,Armoire,20
22,RCE69,2
23,BAG1,22
24,BAG2,22
25,BAG3,22
26,RCE70,2
27,Armoire Droite,26
28,Armoire Gauche,26
29,RCE72,2
30,Armoire,29
31,Armoire Solvant,29
32,Dessicateur/BAG,29
33,RCO32,2
34,Armoire,33
35,BAG,33
36,Frigo,33
37,Placard (non ventilé),33
38,RJE29 : sulfu,2
39,Armoire Droite,38
40,Armoire Gauche,38
41,RJE30,2
42,Placard,41
43,RJE34,2
44,Armoire,43
45,BAG,43
46,RJE39-40,2
47,Armoire 1,46
48,Armoire 2,46
49,Dessicateur,46
50,Placard,46
51,RJE40Bis,2
52,Armoire 1,51
53,Armoire 2,51
54,Armoire 3,51
55,RJE49,2
56,Frigo 1,55
57,Frigo 2,55
58,RJO15,2
59,Armoire,58
60,RJO17-18,2
61,Armoire,60
62,Rennes,NULL
63,4,62
64,211,63
65,congélateur,64
66,étagère,64
67,frigo,64
68,318,63
69,-80°C,68
70,335/1,63
71,armoire solvant sous sorbonne,70
72,armoire ventilée CMR bas,70
73,armoire ventilée CMR haut,70
74,armoire ventilée Corrosifs,70
75,armoire ventilée solvant,70
76,étagère,70
77,340,63
78,congélateur,77
79,étagère,77
80,frigo,77
81,placard,77
82,344,63
83,Magasin,82
84,Roscoff,NULL
85,IGM,84
86,RDC,85
87,Laber,84
88,RDC,87
89,YD-GT,84
90,123,89
91,Armoire poisons,90
92,129,89
93,Armoire 1 E1,92
94,Armoire 1 E2,92
95,Armoire 1 E3,92
96,Armoire 1 E4,92
97,Armoire 1 E5,92
98,Armoire 1 E6,92
99,Armoire 2 E10,92
100,Armoire 2 E11,92
101,Armoire 2 E12,92
102,Armoire 2 E8,92
103,Armoire 2 E9,92
104,132,89
105,Congelateur Boite 1,104
106,204,89
107,Congelateur Boite 2,106
108,206,89
109,Congelateur Boite 3,108
110,207,89
111,Congelateur Boite 4,110
112,209,89
113,Congelateur Boite 5,112
114,210,89
115,Congelateur Boite 6,114
116,217,89
117,Congelateur Boite 7,116
118,223,89
119,Congelateur Boite 8,118
120,Université de Rennes,NULL
121,11C,120
122,RDC/030,121
123,Armoire chimique,122
124,Hotte,122
125,RDC/031,121
126,Réfrigérateur,125
127,11E,120
128,RDC BAS/902,127
129,Armoire chimique,128
130,Congélateur -20°C,128
131,Congélateur -80°C,128
132,Réfrigérateur,128
133,RDC HAUT/002,127
134,RDC HAUT/010,127
